directory_file_name,line_number,error_type,error_description
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,80:13,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,81:13,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,88:13,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,88:25,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,89:11,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,90:11,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,109:17,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,109:72,error,no-magic-numbers
create-react-app\packages\react-dev-utils\getCSSModuleLocalIdent.js,8:1,error,strict
create-react-app\packages\react-dev-utils\getCSSModuleLocalIdent.js,30:5,error,no-magic-numbers
create-react-app\packages\react-dev-utils\getCSSModuleLocalIdent.js,35:5,error,prefer-template
create-react-app\packages\react-dev-utils\getCacheIdentifier.js,8:1,error,strict
create-react-app\packages\react-dev-utils\getProcessForPort.js,8:1,error,strict
create-react-app\packages\react-dev-utils\getProcessForPort.js,31:6,error,prefer-template
create-react-app\packages\react-dev-utils\getProcessForPort.js,34:18,error,no-magic-numbers
create-react-app\packages\react-dev-utils\getProcessForPort.js,50:5,error,prefer-template
create-react-app\packages\react-dev-utils\getProcessForPort.js,66:5,error,prefer-template
create-react-app\packages\react-dev-utils\getProcessForPort.js,80:18,error,prefer-template
create-react-app\packages\react-dev-utils\getPublicUrlOrPath.js,8:1,error,strict
create-react-app\packages\react-dev-utils\getPublicUrlOrPath.js,32:9,error,prefer-template
create-react-app\packages\react-dev-utils\getPublicUrlOrPath.js,43:1,error,indent
create-react-app\packages\react-dev-utils\getPublicUrlOrPath.js,44:1,error,indent
create-react-app\packages\react-dev-utils\getPublicUrlOrPath.js,49:52,error,prefer-template
create-react-app\packages\react-dev-utils\getPublicUrlOrPath.js,60:1,error,indent
create-react-app\packages\react-dev-utils\getPublicUrlOrPath.js,61:1,error,indent
create-react-app\packages\react-dev-utils\globby.js,8:1,error,strict
create-react-app\packages\react-dev-utils\ignoredFiles.js,8:1,error,strict
create-react-app\packages\react-dev-utils\ignoredFiles.js,16:22,error,prefer-template
create-react-app\packages\react-dev-utils\immer.js,8:1,error,strict
create-react-app\packages\react-dev-utils\launchEditor.js,7:1,error,strict
create-react-app\packages\react-dev-utils\launchEditor.js,18:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,19:1,error,indent
