directory_file_name,line_number,error_type,error_description
,7:5,error,no-undef
,14:3,error,no-undef
,15:5,error,no-undef
,18:17,error,no-magic-numbers
,4:1,error,no-undef
,5:3,error,no-undef
,6:5,error,no-undef
,8:1,error,indent
,9:1,error,indent
,9:15,error,no-magic-numbers
,13:3,error,no-undef
,14:5,error,no-undef
,16:1,error,indent
,17:1,error,indent
,17:15,error,no-magic-numbers
,21:3,error,no-undef
,22:5,error,no-undef
,24:1,error,indent
,25:1,error,indent
,25:15,error,no-magic-numbers
,29:3,error,no-undef
,30:5,error,no-undef
,32:1,error,indent
,33:1,error,indent
,33:15,error,no-magic-numbers
,37:3,error,no-undef
,38:5,error,no-undef
,40:1,error,indent
,41:1,error,indent
,41:15,error,no-magic-numbers
,5:1,error,no-undef
,6:3,error,no-undef
,7:5,error,no-undef
,9:1,error,indent
,10:1,error,indent
,11:1,error,indent
,11:15,error,no-magic-numbers
,15:3,error,no-undef
,16:5,error,no-undef
,18:1,error,indent
,19:1,error,indent
,19:15,error,no-magic-numbers
,23:3,error,no-undef
,24:5,error,no-undef
,26:1,error,indent
,27:1,error,indent
,28:1,error,indent
,28:15,error,no-magic-numbers
,32:3,error,no-undef
,33:5,error,no-undef
,35:1,error,indent
,36:1,error,indent
,37:1,error,indent
,38:1,error,indent
,38:15,error,no-magic-numbers
,39:1,error,indent
,40:1,error,indent
,41:1,error,indent
,42:1,error,indent
,42:17,error,no-magic-numbers
,43:1,error,indent
,47:3,error,no-undef
,48:5,error,no-undef
,50:1,error,indent
,51:1,error,indent
,52:1,error,indent
,53:1,error,indent
,54:1,error,indent
,55:1,error,indent
,55:15,error,no-magic-numbers
,59:3,error,no-undef
,60:5,error,no-undef
,61:7,error,no-undef
,63:1,error,indent
,64:1,error,indent
,64:17,error,no-magic-numbers
,67:7,error,no-undef
,69:1,error,indent
,70:1,error,indent
,71:1,error,indent
,72:1,error,indent
,73:1,error,indent
,73:17,error,no-magic-numbers
,77:5,error,no-undef
,78:7,error,no-undef
,80:1,error,indent
,81:1,error,indent
,81:17,error,no-magic-numbers
,86:3,error,no-undef
,87:5,error,no-undef
,89:1,error,indent
,90:1,error,indent
,91:1,error,indent
,91:15,error,no-magic-numbers
,95:3,error,no-undef
,96:5,error,no-undef
,98:1,error,indent
,99:1,error,indent
,100:1,error,indent
,100:15,error,no-magic-numbers
,103:5,error,no-undef
,105:1,error,indent
,106:1,error,indent
,107:1,error,indent
,108:1,error,indent
,108:15,error,no-magic-numbers
,109:1,error,indent
,110:1,error,indent
,111:1,error,indent
,112:1,error,indent
,112:17,error,no-magic-numbers
,113:1,error,indent
,117:3,error,no-undef
,118:5,error,no-undef
,120:1,error,indent
,121:1,error,indent
,122:1,error,indent
,123:1,error,indent
,124:1,error,indent
,124:15,error,no-magic-numbers
,125:1,error,indent
,126:1,error,indent
,127:1,error,indent
,128:1,error,indent
,128:17,error,no-magic-numbers
,129:1,error,indent
,4:1,error,no-undef
,5:3,error,no-undef
,6:5,error,no-undef
,13:3,error,no-undef
,14:5,error,no-undef
,21:3,error,no-undef
,22:5,error,no-undef
,24:1,error,indent
,25:1,error,indent
,25:15,error,no-magic-numbers
,29:3,error,no-undef
,30:5,error,no-undef
,32:1,error,indent
,33:1,error,indent
,37:3,error,no-undef
,38:5,error,no-undef
,40:1,error,indent
,41:1,error,indent
,41:15,error,no-magic-numbers
,4:1,error,no-undef
,5:3,error,no-undef
,6:5,error,no-undef
,13:3,error,no-undef
,14:5,error,no-undef
,21:3,error,no-undef
,22:5,error,no-undef
,29:3,error,no-undef
,30:5,error,no-undef
,37:3,error,no-undef
,38:5,error,no-undef
,45:3,error,no-undef
,46:5,error,no-undef
,53:3,error,no-undef
,54:5,error,no-undef
,61:3,error,no-undef
,62:5,error,no-undef
,5:1,error,no-undef
,6:3,error,no-undef
,7:5,error,no-undef
,9:1,error,indent
,10:1,error,indent
,14:3,error,no-undef
,15:5,error,no-undef
,17:1,error,indent
,18:1,error,indent
,22:3,error,no-undef
,23:5,error,no-undef
,25:1,error,indent
,26:1,error,indent
,30:3,error,no-undef
,31:5,error,no-undef
,33:1,error,indent
,34:1,error,indent
,38:3,error,no-undef
,39:5,error,no-undef
,41:1,error,indent
,42:1,error,indent
,5:1,error,no-undef
,6:3,error,no-undef
,7:5,error,no-undef
,9:1,error,indent
,10:1,error,indent
,10:15,error,no-magic-numbers
,14:3,error,no-undef
,15:5,error,no-undef
,17:1,error,indent
,18:1,error,indent
,19:1,error,indent
,20:1,error,indent
,20:15,error,no-magic-numbers
,24:3,error,no-undef
,25:5,error,no-undef
,27:1,error,indent
,28:1,error,indent
,28:15,error,no-magic-numbers
,31:5,error,no-undef
,33:1,error,indent
,34:1,error,indent
,34:15,error,no-magic-numbers
,38:3,error,no-undef
,39:5,error,no-undef
,41:1,error,indent
,42:1,error,indent
,42:15,error,no-magic-numbers
,45:5,error,no-undef
,47:1,error,indent
,48:1,error,indent
,48:15,error,no-magic-numbers
,52:3,error,no-undef
,53:5,error,no-undef
,55:1,error,indent
,56:1,error,indent
,56:15,error,no-magic-numbers
,60:3,error,no-undef
,61:5,error,no-undef
,63:1,error,indent
,64:1,error,indent
,65:1,error,indent
,66:1,error,indent
,66:15,error,no-magic-numbers
,67:1,error,indent
,68:1,error,indent
,69:1,error,indent
,70:1,error,indent
,70:17,error,no-magic-numbers
,71:1,error,indent
,75:3,error,no-undef
,76:5,error,no-undef
,78:1,error,indent
,79:1,error,indent
,80:1,error,indent
,81:1,error,indent
,81:15,error,no-magic-numbers
,82:1,error,indent
,83:1,error,indent
,84:1,error,indent
,85:1,error,indent
,85:17,error,no-magic-numbers
,86:1,error,indent
,90:3,error,no-undef
,91:5,error,no-undef
,93:1,error,indent
,94:1,error,indent
,94:15,error,no-magic-numbers
,4:1,error,no-undef
,5:3,error,no-undef
,6:5,error,no-undef
,7:7,error,no-undef
,9:1,error,indent
,10:1,error,indent
,11:1,error,indent
,11:17,error,no-magic-numbers
,15:5,error,no-undef
,16:7,error,no-undef
,18:1,error,indent
,19:1,error,indent
,20:1,error,indent
,20:17,error,no-magic-numbers
,25:3,error,no-undef
,26:5,error,no-undef
,27:7,error,no-undef
,29:1,error,indent
,30:1,error,indent
,31:1,error,indent
,31:17,error,no-magic-numbers
,36:3,error,no-undef
,37:5,error,no-undef
,38:7,error,no-undef
,40:1,error,indent
,41:1,error,indent
,42:1,error,indent
,42:17,error,no-magic-numbers
,5:1,error,no-undef
,6:3,error,no-undef
,7:5,error,no-undef
,8:7,error,no-undef
,10:1,error,indent
,11:1,error,indent
,11:17,error,no-magic-numbers
,15:5,error,no-undef
,16:7,error,no-undef
,18:1,error,indent
,19:1,error,indent
,19:17,error,no-magic-numbers
,23:5,error,no-undef
,24:7,error,no-undef
,26:1,error,indent
,27:1,error,indent
,28:1,error,indent
,28:17,error,no-magic-numbers
,33:3,error,no-undef
,34:5,error,no-undef
,35:7,error,no-undef
,37:1,error,indent
,38:1,error,indent
